site,block,plot,subplot,taxa,mass,mass g/m2 (mass x 5),date,note_biomass,,,,,,
Slieve Carran,1,9,D,2. CY Bryophytes,0.11,0.55,2020-07-29,,,,,,,
Slieve Carran,1,9,D,3. CY Graminoids,51,255.00,2020-07-29,,,,,,,
Slieve Carran,1,9,D,4. CY Legumes,6.48,32.40,2020-07-29,,,,,,,
Slieve Carran,1,9,D,5. CY Non Legume forb,28.52,142.60,2020-07-29,,,,,,,
Slieve Carran,1,9,D,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,1,10,D,1. Previous years dead,16.9,84.50,2020-07-29,,,,,,,
Slieve Carran,1,10,D,2. CY Bryophytes,0,0.00,2020-07-29,,,,,,,
Slieve Carran,1,10,D,3. CY Graminoids,68.32,341.60,2020-07-29,,,,,,,
Slieve Carran,1,10,D,4. CY Legumes,1.18,5.90,2020-07-29,,,,,,,
Slieve Carran,1,10,D,5. CY Non Legume forb,28.73,143.65,2020-07-29,,,,,,,
Slieve Carran,1,10,D,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,2,1,A,1. Previous years dead,48.28,241.40,2020-07-29,,,,,,,
Slieve Carran,2,1,A,2. CY Bryophytes,0.01,0.05,2020-07-29,,,,,,,
Slieve Carran,2,1,A,3. CY Graminoids,44.62,223.10,2020-07-29,,,,,,,
Slieve Carran,2,1,A,4. CY Legumes,5.53,27.65,2020-07-29,,,,,,,
Slieve Carran,2,1,A,5. CY Non Legume forb,30.7,153.50,2020-07-29,,,,,,,
Slieve Carran,2,1,A,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,2,2,C,1. Previous years dead,27.13,135.65,2020-07-29,,,,,,,
Slieve Carran,2,2,C,2. CY Bryophytes,0.21,1.05,2020-07-29,,,,,,,
Slieve Carran,2,2,C,3. CY Graminoids,44.09,220.45,2020-07-29,,,,,,,
Slieve Carran,2,2,C,4. CY Legumes,0.95,4.75,2020-07-29,,,,,,,
Slieve Carran,2,2,C,5. CY Non Legume forb,24.11,120.55,2020-07-29,,,,,,,
Slieve Carran,2,2,C,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,2,3,B,1. Previous years dead,16.45,82.25,2020-07-29,,,,,,,
Slieve Carran,2,3,B,2. CY Bryophytes,0.03,0.15,2020-07-29,,,,,,,
Slieve Carran,2,3,B,3. CY Graminoids,65.1,325.50,2020-07-29,,,,,,,
Slieve Carran,2,3,B,4. CY Legumes,9.23,46.15,2020-07-29,,,,,,,
Slieve Carran,2,3,B,5. CY Non Legume forb,28.85,144.25,2020-07-29,,,,,,,
Slieve Carran,2,3,B,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,2,4,D,1. Previous years dead,21.10,105.50,2020-07-29,,,,,,,
Slieve Carran,2,4,D,2. CY Bryophytes,0,0.00,2020-07-29,,,,,,,
Slieve Carran,2,4,D,3. CY Graminoids,99,495.00,2020-07-29,,,,,,,
Slieve Carran,2,4,D,4. CY Legumes,3.98,19.90,2020-07-29,,,,,,,
Slieve Carran,2,4,D,5. CY Non Legume forb,10.44,52.20,2020-07-29,,,,,,,
Slieve Carran,2,4,D,6. CY Woody Growth,0.00,0.00,2020-07-29,,,,,,,
Slieve Carran,2,5,D,1. Previous years dead,179.55,897.75,2020-07-29,,,,,,,
Slieve Carran,2,5,D,2. CY Bryophytes,0.15,0.75,2020-07-29,,,,,,,
Slieve Carran,2,5,D,3. CY Graminoids,71.04,355.20,2020-07-29,,,,,,,
Slieve Carran,2,5,D,4. CY Legumes,0.79,3.95,2020-07-29,,,,,,,
Slieve Carran,2,5,D,5. CY Non Legume forb,0.64,3.20,2020-07-29,,,,,,,
Slieve Carran,2,5,D,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,2,6,C,1. Previous years dead,117.35,586.75,2020-07-29,,,,,,,
Slieve Carran,2,6,C,2. CY Bryophytes,0,0.00,2020-07-29,,,,,,,
Slieve Carran,2,6,C,3. CY Graminoids,196.29,981.45,2020-07-29,,,,,,,
Slieve Carran,2,6,C,4. CY Legumes,39.23,196.15,2020-07-29,,,,,,,
Slieve Carran,2,6,C,5. CY Non Legume forb,1.33,6.65,2020-07-29,,,,,,,
Slieve Carran,2,6,C,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,2,7,B,1. Previous years dead,14.51,72.55,2020-07-29,,,,,,,
Slieve Carran,2,7,B,2. CY Bryophytes,0.25,1.25,2020-07-29,,,,,,,
Slieve Carran,2,7,B,3. CY Graminoids,53.53,267.65,2020-07-29,,,,,,,
Slieve Carran,2,7,B,4. CY Legumes,2.09,10.45,2020-07-29,,,,,,,
Slieve Carran,2,7,B,5. CY Non Legume forb,30.51,152.55,2020-07-29,,,,,,,
Slieve Carran,2,7,B,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,2,8,B,1. Previous years dead,161.75,808.75,2020-07-29,,,,,,,
Slieve Carran,2,8,B,2. CY Bryophytes,1.69,8.45,2020-07-29,,,,,,,
Slieve Carran,2,8,B,3. CY Graminoids,113.89,569.45,2020-07-29,,,,,,,
Slieve Carran,2,8,B,4. CY Legumes,1.53,7.65,2020-07-29,,,,,,,
Slieve Carran,2,8,B,5. CY Non Legume forb,37.4,187.00,2020-07-29,,,,,,,
Slieve Carran,2,8,B,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,2,9,A,1. Previous years dead,11.14,55.70,2020-07-29,,,,,,,
Slieve Carran,2,9,A,2. CY Bryophytes,0,0.00,2020-07-29,,,,,,,
Slieve Carran,2,9,A,3. CY Graminoids,51.75,258.75,2020-07-29,,,,,,,
Slieve Carran,2,9,A,4. CY Legumes,4.39,21.95,2020-07-29,,,,,,,
Slieve Carran,2,9,A,5. CY Non Legume forb,8.94,44.70,2020-07-29,,,,,,,
Slieve Carran,2,9,A,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,2,10,A,1. Previous years dead,58.86,294.30,2020-07-29,,,,,,,
Slieve Carran,2,10,A,2. CY Bryophytes,0,0.00,2020-07-29,,,,,,,
Slieve Carran,2,10,A,3. CY Graminoids,48.94,244.70,2020-07-29,,,,,,,
Slieve Carran,2,10,A,4. CY Legumes,3.89,19.45,2020-07-29,,,,,,,
Slieve Carran,2,10,A,5. CY Non Legume forb,0.85,4.25,2020-07-29,,,,,,,
Slieve Carran,2,10,A,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,3,1,C,1. Previous years dead,164.66,823.30,2020-07-29,,,,,,,
Slieve Carran,3,1,C,2. CY Bryophytes,2.41,12.05,2020-07-29,,,,,,,
Slieve Carran,3,1,C,3. CY Graminoids,45.52,227.60,2020-07-29,,,,,,,
Slieve Carran,3,1,C,4. CY Legumes,0.21,1.05,2020-07-29,,,,,,,
Slieve Carran,3,1,C,5. CY Non Legume forb,4.42,22.10,2020-07-29,,,,,,,
Slieve Carran,3,1,C,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,3,2,D,1. Previous years dead,12.9,64.50,2020-07-29,,,,,,,
Slieve Carran,3,2,D,2. CY Bryophytes,0.01,0.05,2020-07-29,,,,,,,
Slieve Carran,3,2,D,3. CY Graminoids,29.1,145.50,2020-07-29,,,,,,,
Slieve Carran,3,2,D,4. CY Legumes,3.4,17.00,2020-07-29,,,,,,,
Slieve Carran,3,2,D,5. CY Non Legume forb,14.01,70.05,2020-07-29,,,,,,,
Slieve Carran,3,2,D,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,3,3,A,1. Previous years dead,14.83,74.15,2020-07-29,,,,,,,
Slieve Carran,3,3,A,2. CY Bryophytes,0.01,0.05,2020-07-29,,,,,,,
Slieve Carran,3,3,A,3. CY Graminoids,66.98,334.90,2020-07-29,,,,,,,
Slieve Carran,3,3,A,4. CY Legumes,6.73,33.65,2020-07-29,,,,,,,
Slieve Carran,3,3,A,5. CY Non Legume forb,19.71,98.55,2020-07-29,,,,,,,
Slieve Carran,3,3,A,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,3,4,C,1. Previous years dead,67.29,336.45,2020-07-29,,,,,,,
Slieve Carran,3,4,C,2. CY Bryophytes,0.12,0.60,2020-07-29,,,,,,,
Slieve Carran,3,4,C,3. CY Graminoids,66.04,330.20,2020-07-29,,,,,,,
Slieve Carran,3,4,C,4. CY Legumes,0.36,1.80,2020-07-29,,,,,,,
Slieve Carran,3,4,C,5. CY Non Legume forb,39.69,198.45,2020-07-29,,,,,,,
Slieve Carran,3,4,C,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,3,5,D,1. Previous years dead,11.09,55.45,2020-07-29,,,,,,,
Slieve Carran,3,5,D,2. CY Bryophytes,0,0.00,2020-07-29,,,,,,,
Slieve Carran,3,5,D,3. CY Graminoids,30.07,150.35,2020-07-29,,,,,,,
Slieve Carran,3,5,D,4. CY Legumes,0.28,1.40,2020-07-29,,,,,,,
Slieve Carran,3,5,D,5. CY Non Legume forb,0.91,4.55,2020-07-29,,,,,,,
Slieve Carran,3,5,D,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,3,6,A,1. Previous years dead,72.15,360.75,2020-07-29,,,,,,,
Slieve Carran,3,6,A,2. CY Bryophytes,0.12,0.60,2020-07-29,,,,,,,
Slieve Carran,3,6,A,3. CY Graminoids,50.59,252.95,2020-07-29,,,,,,,
Slieve Carran,3,6,A,4. CY Legumes,1.98,9.90,2020-07-29,,,,,,,
Slieve Carran,3,6,A,5. CY Non Legume forb,25.84,129.20,2020-07-29,,,,,,,
Slieve Carran,3,6,A,6. CY Woody Growth,0.00,0.00,2020-07-29,,,,,,,
Slieve Carran,3,7,B,1. Previous years dead,143.92,719.60,2020-07-29,,,,,,,
Slieve Carran,3,7,B,2. CY Bryophytes,0.22,1.10,2020-07-29,,,,,,,
Slieve Carran,3,7,B,3. CY Graminoids,58.18,290.90,2020-07-29,,,,,,,
Slieve Carran,3,7,B,4. CY Legumes,0.56,2.80,2020-07-29,,,,,,,
Slieve Carran,3,7,B,5. CY Non Legume forb,7.81,39.05,2020-07-29,,,,,,,
Slieve Carran,3,7,B,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,3,8,D,1. Previous years dead,171.94,859.70,2020-07-29,,,,,,,
Slieve Carran,3,8,D,2. CY Bryophytes,0.34,1.70,2020-07-29,,,,,,,
Slieve Carran,3,8,D,3. CY Graminoids,73.9,369.50,2020-07-29,,,,,,,
Slieve Carran,3,8,D,4. CY Legumes,0.44,2.20,2020-07-29,,,,,,,
Slieve Carran,3,8,D,5. CY Non Legume forb,9.77,48.85,2020-07-29,,,,,,,
Slieve Carran,3,8,D,6. CY Woody Growth,0.00,0.00,2020-07-29,,,,,,,
Slieve Carran,3,9,D,1. Previous years dead,20.5,102.50,2020-07-29,,,,,,,
Slieve Carran,3,9,D,2. CY Bryophytes,0.01,0.05,2020-07-29,,,,,,,
Slieve Carran,3,9,D,3. CY Graminoids,47.08,235.40,2020-07-29,,,,,,,
Slieve Carran,3,9,D,4. CY Legumes,2.27,11.35,2020-07-29,,,,,,,
Slieve Carran,3,9,D,5. CY Non Legume forb,9.82,49.10,2020-07-29,,,,,,,
Slieve Carran,3,9,D,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
Slieve Carran,3,10,A,1. Previous years dead,261.74,1308.70,2020-07-29,,,,,,,
Slieve Carran,3,10,A,2. CY Bryophytes,0,0.00,2020-07-29,,,,,,,
Slieve Carran,3,10,A,3. CY Graminoids,187.3,936.50,2020-07-29,,,,,,,
Slieve Carran,3,10,A,4. CY Legumes,15.73,78.65,2020-07-29,,,,,,,
Slieve Carran,3,10,A,5. CY Non Legume forb,5.42,27.10,2020-07-29,,,,,,,
Slieve Carran,3,10,A,6. CY Woody Growth,0,0.00,2020-07-29,,,,,,,
