"","year","site_name","site_code","block","plot","subplot","year_trt","trt","Family","Taxon","live","local_provenance","local_lifeform","local_lifespan","functional_group","N_fixer","ps_path","max_cover"
"209106",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Compositae","HYPOCHAERIS RADICATA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",10
"209107",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Fabaceae","LATHYRUS LINIFOLIUS",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",1
"209108",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Fabaceae","LATHYRUS PRATENSIS",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",1
"209109",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Fabaceae","LOTUS CORNICULATUS",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",1
"209110",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","NULL","OTHER LITTER",0,"NULL","NULL","NULL","NON-LIVE","0","NULL",3
"209111",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Apiaceae","PIMPINELLA SAXIFRAGA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209112",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Plantaginaceae","PLANTAGO LANCEOLATA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",20
"209113",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Rosaceae","POTENTILLA ERECTA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",10
"209114",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Lamiaceae","PRUNELLA VULGARIS",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209115",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Scrophulariaceae","RHINANTHUS MINOR",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209116",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Rosaceae","ROSA XANTHINA",1,"NAT","SHRUB","PERENNIAL","WOODY","0","NULL",1
"209117",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Caprifoliaceae","SUCCISA PRATENSIS",1,"NAT","HERB","BIENNIAL","FORB","0","NULL",3
"209118",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Fabaceae","TRIFOLIUM PRATENSE",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",1
"209119",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Fabaceae","TRIFOLIUM REPENS",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",5
"209120",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Fabaceae","VICIA CRACCA",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",1
"209121",2015,"Slieve Carran","burren.ie",1,1,"A",0,"Control","Violaceae","VIOLA RIVINIANA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209122",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Poaceae","AGROSTIS CAPILLARIS",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",1
"209123",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Poaceae","ANTHOXANTHUM ODORATUM",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",21
"209124",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Cyperaceae","CAREX FLACCA",1,"NAT","HERB","PERENNIAL","GRAMINOID","0","NULL",10
"209125",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Cyperaceae","CAREX PANICEA",1,"NAT","HERB","PERENNIAL","GRAMINOID","0","NULL",10
"209126",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Compositae","CENTAUREA NIGRA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",10
"209127",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Caryophyllaceae","CERASTIUM FONTANUM",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",2
"209128",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Poaceae","DACTYLIS GLOMERATA",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",5
"209129",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Scrophulariaceae","EUPHRASIA SP.",1,"NAT","HERB","PERENNIAL","FORB","NULL","NULL",1
"209130",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Poaceae","FESTUCA RUBRA",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",5
"209131",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","NULL","GROUND",0,"NULL","NULL","NULL","NON-LIVE","0","NULL",80
"209132",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Poaceae","HOLCUS LANATUS",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",3
"209133",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Fabaceae","LATHYRUS LINIFOLIUS",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",1
"209134",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Fabaceae","LATHYRUS PRATENSIS",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",2
"209135",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Juncaceae","LUZULA MULTIFLORA",1,"NAT","HERB","PERENNIAL","GRAMINOID","0","NULL",1
"209136",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","NULL","OTHER LITTER",0,"NULL","NULL","NULL","NON-LIVE","0","NULL",1
"209137",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Plantaginaceae","PLANTAGO LANCEOLATA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",10
"209138",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Rosaceae","POTENTILLA ERECTA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",15
"209139",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Dennstaedtiaceae","PTERIDIUM AQUILINUM",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209140",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Ranunculaceae","RANUNCULUS ACRIS",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209141",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Scrophulariaceae","RHINANTHUS MINOR",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",4
"209142",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Polygonaceae","RUMEX ACETOSA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209143",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Fabaceae","TRIFOLIUM PRATENSE",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",5
"209144",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Fabaceae","TRIFOLIUM REPENS",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",1
"209145",2015,"Slieve Carran","burren.ie",1,2,"B",0,"PK","Violaceae","VIOLA RIVINIANA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209146",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Poaceae","AGROSTIS CAPILLARIS",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",1
"209147",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Poaceae","AGROSTIS STOLONIFERA",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",1
"209148",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Poaceae","ANTHOXANTHUM ODORATUM",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",5
"209149",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Poaceae","BRIZA MEDIA",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",1
"209150",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","NULL","BRYOPHYTE",1,"NULL","NULL","NULL","BRYOPHYTE","0","NULL",1
"209151",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Cyperaceae","CAREX FLACCA",1,"NAT","HERB","PERENNIAL","GRAMINOID","0","NULL",15
"209152",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Cyperaceae","CAREX PANICEA",1,"NAT","HERB","PERENNIAL","GRAMINOID","0","NULL",5
"209153",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Compositae","CENTAUREA NIGRA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",8
"209154",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Poaceae","DACTYLIS GLOMERATA",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",1
"209155",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Scrophulariaceae","EUPHRASIA SP.",1,"NAT","HERB","PERENNIAL","FORB","NULL","NULL",1
"209156",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Poaceae","FESTUCA RUBRA",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",1
"209157",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Rubiaceae","GALIUM VERUM",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209158",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","NULL","GROUND",0,"NULL","NULL","NULL","NON-LIVE","0","NULL",3
"209159",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Poaceae","HELICTOTRICHON PUBESCENS",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",1
"209160",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Poaceae","HOLCUS LANATUS",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",1
"209161",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Fabaceae","LATHYRUS LINIFOLIUS",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",1
"209162",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Fabaceae","LATHYRUS PRATENSIS",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",1
"209163",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Compositae","LEONTODON HISPIDUS",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",5
"209164",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Fabaceae","LOTUS CORNICULATUS",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",3
"209165",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","NULL","OTHER LITTER",0,"NULL","NULL","NULL","NON-LIVE","0","NULL",40
"209166",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","NULL","OTHER ROCK",0,"NULL","NULL","NULL","NON-LIVE","0","NULL",1
"209167",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Plantaginaceae","PLANTAGO LANCEOLATA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",5
"209168",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Rosaceae","POTENTILLA ERECTA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",3
"209169",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Dennstaedtiaceae","PTERIDIUM AQUILINUM",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",7
"209170",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Ranunculaceae","RANUNCULUS ACRIS",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209171",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Polygonaceae","RUMEX ACETOSA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209172",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Fabaceae","TRIFOLIUM PRATENSE",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",4
"209173",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Fabaceae","TRIFOLIUM REPENS",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",1
"209174",2015,"Slieve Carran","burren.ie",1,3,"D",0,"NK","Violaceae","VIOLA RIVINIANA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209175",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Compositae","ACHILLEA MILLEFOLIUM",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",2
"209176",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Poaceae","AGROSTIS CAPILLARIS",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",10
"209177",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Poaceae","AGROSTIS STOLONIFERA",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",6
"209178",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Lamiaceae","AJUGA REPTANS",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209179",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Poaceae","ANTHOXANTHUM ODORATUM",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",11
"209180",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Poaceae","BRIZA MEDIA",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",1
"209181",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Cyperaceae","CAREX CARYOPHYLLEA",1,"NAT","HERB","PERENNIAL","GRAMINOID","0","NULL",1
"209182",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Cyperaceae","CAREX FLACCA",1,"NAT","HERB","PERENNIAL","GRAMINOID","0","NULL",15
"209183",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Cyperaceae","CAREX PANICEA",1,"NAT","HERB","PERENNIAL","GRAMINOID","0","NULL",10
"209184",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Compositae","CENTAUREA NIGRA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",4
"209185",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Caryophyllaceae","CERASTIUM FONTANUM",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209186",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Poaceae","DACTYLIS GLOMERATA",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",1
"209187",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Scrophulariaceae","EUPHRASIA SP.",1,"NAT","HERB","PERENNIAL","FORB","NULL","NULL",1
"209188",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Poaceae","FESTUCA RUBRA",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",1
"209189",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Rubiaceae","GALIUM VERUM",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",2
"209190",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","NULL","GROUND",0,"NULL","NULL","NULL","NON-LIVE","0","NULL",1
"209191",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Poaceae","HELICTOTRICHON PUBESCENS",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",3
"209192",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Poaceae","HOLCUS LANATUS",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",1
"209193",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Fabaceae","LATHYRUS LINIFOLIUS",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",1
"209194",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Juncaceae","LUZULA MULTIFLORA",1,"NAT","HERB","PERENNIAL","GRAMINOID","0","NULL",1
"209195",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","NULL","OTHER LITTER",0,"NULL","NULL","NULL","NON-LIVE","0","NULL",60
"209196",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Plantaginaceae","PLANTAGO LANCEOLATA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",8
"209197",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Rosaceae","POTENTILLA ERECTA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",4
"209198",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Dennstaedtiaceae","PTERIDIUM AQUILINUM",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",8
"209199",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Ranunculaceae","RANUNCULUS ACRIS",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209200",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Scrophulariaceae","RHINANTHUS MINOR",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209201",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Polygonaceae","RUMEX ACETOSA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209202",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Compositae","SCORZONEROIDES AUTUMNALIS",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209203",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Caprifoliaceae","SUCCISA PRATENSIS",1,"NAT","HERB","BIENNIAL","FORB","0","NULL",1
"209204",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Fabaceae","TRIFOLIUM PRATENSE",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",1
"209205",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Fabaceae","TRIFOLIUM REPENS",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",1
"209206",2015,"Slieve Carran","burren.ie",1,4,"D",0,"NP","Violaceae","VIOLA RIVINIANA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209207",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Poaceae","AGROSTIS CAPILLARIS",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",30
"209208",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Poaceae","AGROSTIS STOLONIFERA",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",1
"209209",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Poaceae","ANTHOXANTHUM ODORATUM",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",10
"209210",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Cyperaceae","CAREX FLACCA",1,"NAT","HERB","PERENNIAL","GRAMINOID","0","NULL",2
"209211",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Cyperaceae","CAREX PANICEA",1,"NAT","HERB","PERENNIAL","GRAMINOID","0","NULL",1
"209212",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Compositae","CENTAUREA NIGRA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",3
"209213",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Poaceae","DACTYLIS GLOMERATA",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",4
"209214",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Scrophulariaceae","EUPHRASIA SP.",1,"NAT","HERB","PERENNIAL","FORB","NULL","NULL",1
"209215",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Poaceae","FESTUCA RUBRA",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",1
"209216",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Rubiaceae","GALIUM VERUM",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209217",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Poaceae","HOLCUS LANATUS",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",2
"209218",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Hypericaceae","HYPERICUM PULCHRUM",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209219",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Fabaceae","LATHYRUS LINIFOLIUS",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",1
"209220",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Fabaceae","LATHYRUS PRATENSIS",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",1
"209221",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Fabaceae","LOTUS CORNICULATUS",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",4
"209222",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Orobanchaceae","ODONTITES VERNUS",1,"NAT","HERB","ANNUAL","FORB","0","NULL",1
"209223",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","NULL","OTHER LITTER",0,"NULL","NULL","NULL","NON-LIVE","0","NULL",55
"209224",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Plantaginaceae","PLANTAGO LANCEOLATA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",40
"209225",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Rosaceae","POTENTILLA ERECTA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",8
"209226",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Ranunculaceae","RANUNCULUS ACRIS",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",2
"209227",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Polygonaceae","RUMEX ACETOSA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",2
"209228",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Fabaceae","TRIFOLIUM PRATENSE",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",1
"209229",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Fabaceae","TRIFOLIUM REPENS",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",1
"209230",2015,"Slieve Carran","burren.ie",1,5,"A",0,"Fence","Fabaceae","VICIA CRACCA",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",1
"209231",2015,"Slieve Carran","burren.ie",1,6,"B",0,"NPK+Fence","Poaceae","AGROSTIS CAPILLARIS",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",20
"209232",2015,"Slieve Carran","burren.ie",1,6,"B",0,"NPK+Fence","Poaceae","ANTHOXANTHUM ODORATUM",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",11
"209233",2015,"Slieve Carran","burren.ie",1,6,"B",0,"NPK+Fence","Cyperaceae","CAREX FLACCA",1,"NAT","HERB","PERENNIAL","GRAMINOID","0","NULL",1
"209234",2015,"Slieve Carran","burren.ie",1,6,"B",0,"NPK+Fence","Cyperaceae","CAREX PANICEA",1,"NAT","HERB","PERENNIAL","GRAMINOID","0","NULL",30
"209235",2015,"Slieve Carran","burren.ie",1,6,"B",0,"NPK+Fence","Compositae","CENTAUREA NIGRA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",5
"209236",2015,"Slieve Carran","burren.ie",1,6,"B",0,"NPK+Fence","Poaceae","DACTYLIS GLOMERATA",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",15
"209237",2015,"Slieve Carran","burren.ie",1,6,"B",0,"NPK+Fence","Scrophulariaceae","EUPHRASIA SP.",1,"NAT","HERB","PERENNIAL","FORB","NULL","NULL",1
"209238",2015,"Slieve Carran","burren.ie",1,6,"B",0,"NPK+Fence","Poaceae","FESTUCA RUBRA",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",4
"209239",2015,"Slieve Carran","burren.ie",1,6,"B",0,"NPK+Fence","NULL","GROUND",0,"NULL","NULL","NULL","NON-LIVE","0","NULL",2
"209240",2015,"Slieve Carran","burren.ie",1,6,"B",0,"NPK+Fence","Poaceae","HOLCUS LANATUS",1,"NAT","GRASS","PERENNIAL","GRASS","0","C3",10
"209241",2015,"Slieve Carran","burren.ie",1,6,"B",0,"NPK+Fence","Fabaceae","LATHYRUS LINIFOLIUS",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",1
"209242",2015,"Slieve Carran","burren.ie",1,6,"B",0,"NPK+Fence","Fabaceae","LATHYRUS PRATENSIS",1,"NAT","HERB","PERENNIAL","LEGUME","1","NULL",1
"209243",2015,"Slieve Carran","burren.ie",1,6,"B",0,"NPK+Fence","Juncaceae","LUZULA MULTIFLORA",1,"NAT","HERB","PERENNIAL","GRAMINOID","0","NULL",1
"209244",2015,"Slieve Carran","burren.ie",1,6,"B",0,"NPK+Fence","NULL","OTHER LITTER",0,"NULL","NULL","NULL","NON-LIVE","0","NULL",60
"209245",2015,"Slieve Carran","burren.ie",1,6,"B",0,"NPK+Fence","Plantaginaceae","PLANTAGO LANCEOLATA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",5
"209246",2015,"Slieve Carran","burren.ie",1,6,"B",0,"NPK+Fence","Rosaceae","POTENTILLA ERECTA",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",10
"209247",2015,"Slieve Carran","burren.ie",1,6,"B",0,"NPK+Fence","Dennstaedtiaceae","PTERIDIUM AQUILINUM",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
"209248",2015,"Slieve Carran","burren.ie",1,6,"B",0,"NPK+Fence","Ranunculaceae","RANUNCULUS ACRIS",1,"NAT","HERB","PERENNIAL","FORB","0","NULL",1
