site,block,plot,subplot,taxa,mass,mass g/m2 (mass x 5),date,note_biomass
Slieve Carran,1,8,C,5. CY Non Legume forb,62.81,314.04,01/08/2019,
Slieve Carran,1,8,C,6. CY Woody Growth,0,0,01/08/2019,
Slieve Carran,1,9,D,1. Previous years dead,22.61,113.05,01/08/2019,
Slieve Carran,1,9,D,2. CY Bryophytes,0,0,01/08/2019,
Slieve Carran,1,9,D,3. CY Graminoids,81.86,409.3,01/08/2019,
Slieve Carran,1,9,D,4. CY Legumes,7.88,39.39,01/08/2019,
Slieve Carran,1,9,D,5. CY Non Legume forb,45.21,226.04,01/08/2019,
Slieve Carran,1,9,D,6. CY Woody Growth,0,0,01/08/2019,
Slieve Carran,1,10,D,1. Previous years dead,31.59,157.95,01/08/2019,
Slieve Carran,1,10,D,2. CY Bryophytes,0,0,01/08/2019,
Slieve Carran,1,10,D,3. CY Graminoids,147.47,737.35,01/08/2019,
Slieve Carran,1,10,D,4. CY Legumes,4.28,21.39,01/08/2019,
Slieve Carran,1,10,D,5. CY Non Legume forb,25.83,129.15,01/08/2019,
Slieve Carran,1,10,D,6. CY Woody Growth,0,0,01/08/2019,
Slieve Carran,2,11,A,1. Previous years dead,60.23,301.15,01/08/2019,
Slieve Carran,2,11,A,2. CY Bryophytes,0.13,0.65,01/08/2019,
Slieve Carran,2,11,A,3. CY Graminoids,37.9,189.5,01/08/2019,
Slieve Carran,2,11,A,4. CY Legumes,13.32,66.6,01/08/2019,
Slieve Carran,2,11,A,5. CY Non Legume forb,51.71,258.55,01/08/2019,
Slieve Carran,2,11,A,6. CY Woody Growth,0,0,01/08/2019,
Slieve Carran,2,12,C,1. Previous years dead,45.38,226.9,01/08/2019,
Slieve Carran,2,12,C,2. CY Bryophytes,0.11,0.55,01/08/2019,
Slieve Carran,2,12,C,3. CY Graminoids,75.62,378.1,01/08/2019,
Slieve Carran,2,12,C,4. CY Legumes,0.27,1.34,01/08/2019,
Slieve Carran,2,12,C,5. CY Non Legume forb,40.13,200.65,01/08/2019,
Slieve Carran,2,12,C,6. CY Woody Growth,0,0,01/08/2019,
Slieve Carran,2,13,B,1. Previous years dead,16.51,82.54,01/08/2019,
Slieve Carran,2,13,B,2. CY Bryophytes,0,0,01/08/2019,
Slieve Carran,2,13,B,3. CY Graminoids,190.88,954.4,01/08/2019,
Slieve Carran,2,13,B,4. CY Legumes,38.48,192.4,01/08/2019,
Slieve Carran,2,13,B,5. CY Non Legume forb,49.96,249.79,01/08/2019,
Slieve Carran,2,13,B,6. CY Woody Growth,0,0,01/08/2019,
Slieve Carran,2,14,D,1. Previous years dead,25.46,127.29,01/08/2019,
Slieve Carran,2,14,D,2. CY Bryophytes,,0,01/08/2019,
Slieve Carran,2,14,D,3. CY Graminoids,222.86,1114.3,01/08/2019,
Slieve Carran,2,14,D,4. CY Legumes,7.56,37.79,01/08/2019,
Slieve Carran,2,14,D,5. CY Non Legume forb,6.51,32.53,01/08/2019,
Slieve Carran,2,14,D,6. CY Woody Growth,0,0,01/08/2019,
Slieve Carran,2,15,D,1. Previous years dead,17.46,87.3,01/08/2019,
Slieve Carran,2,15,D,2. CY Bryophytes,0.2,1,01/08/2019,
Slieve Carran,2,15,D,3. CY Graminoids,135.13,675.65,01/08/2019,
Slieve Carran,2,15,D,4. CY Legumes,0.1,0.5,01/08/2019,
Slieve Carran,2,15,D,5. CY Non Legume forb,32.72,163.59,01/08/2019,
Slieve Carran,2,15,D,6. CY Woody Growth,0,0,01/08/2019,
Slieve Carran,2,16,C,1. Previous years dead,31.03,155.15,01/08/2019,
Slieve Carran,2,16,C,2. CY Bryophytes,0,0,01/08/2019,
Slieve Carran,2,16,C,3. CY Graminoids,223.98,1119.9,01/08/2019,
Slieve Carran,2,16,C,4. CY Legumes,33.45,167.25,01/08/2019,
Slieve Carran,2,16,C,5. CY Non Legume forb,0,0,01/08/2019,
Slieve Carran,2,16,C,6. CY Woody Growth,0,0,01/08/2019,
Slieve Carran,2,17,B,1. Previous years dead,39.87,199.35,31/07/2019,
Slieve Carran,2,17,B,2. CY Bryophytes,0.33,1.65,31/07/2019,
Slieve Carran,2,17,B,3. CY Graminoids,84.88,424.4,31/07/2019,
Slieve Carran,2,17,B,4. CY Legumes,7.87,39.34,31/07/2019,
Slieve Carran,2,17,B,5. CY Non Legume forb,30.99,154.94,31/07/2019,
Slieve Carran,2,17,B,6. CY Woody Growth,0,0,31/07/2019,
Slieve Carran,2,18,B,1. Previous years dead,102.51,512.55,31/07/2019,
Slieve Carran,2,18,B,2. CY Bryophytes,0.09,0.45,31/07/2019,
Slieve Carran,2,18,B,3. CY Graminoids,85.28,426.4,31/07/2019,
Slieve Carran,2,18,B,4. CY Legumes,0.94,4.69,31/07/2019,
Slieve Carran,2,18,B,5. CY Non Legume forb,3.11,15.55,31/07/2019,
Slieve Carran,2,18,B,6. CY Woody Growth,0,0,31/07/2019,
Slieve Carran,2,19,A,1. Previous years dead,56.1,280.5,31/07/2019,
Slieve Carran,2,19,A,2. CY Bryophytes,0.01,0.05,31/07/2019,
Slieve Carran,2,19,A,3. CY Graminoids,309.81,1549.05,31/07/2019,
Slieve Carran,2,19,A,4. CY Legumes,5.58,27.89,31/07/2019,
Slieve Carran,2,19,A,5. CY Non Legume forb,9.67,48.33,31/07/2019,
Slieve Carran,2,19,A,6. CY Woody Growth,0,0,31/07/2019,
Slieve Carran,2,20,A,1. Previous years dead,79.33,396.65,31/07/2019,
Slieve Carran,2,20,A,2. CY Bryophytes,0,0,31/07/2019,
Slieve Carran,2,20,A,3. CY Graminoids,161.27,806.35,31/07/2019,
Slieve Carran,2,20,A,4. CY Legumes,2.58,12.89,31/07/2019,
Slieve Carran,2,20,A,5. CY Non Legume forb,2.76,13.78,31/07/2019,
Slieve Carran,2,20,A,6. CY Woody Growth,0,0,31/07/2019,
Slieve Carran,3,21,C,1. Previous years dead,87.88,439.4,31/07/2019,
Slieve Carran,3,21,C,2. CY Bryophytes,0,0,31/07/2019,
Slieve Carran,3,21,C,3. CY Graminoids,58.54,292.7,31/07/2019,
Slieve Carran,3,21,C,4. CY Legumes,0.1,0.5,31/07/2019,
Slieve Carran,3,21,C,5. CY Non Legume forb,12.01,60.04,31/07/2019,
Slieve Carran,3,21,C,6. CY Woody Growth,0,0,31/07/2019,
Slieve Carran,3,22,D,1. Previous years dead,32.24,161.2,31/07/2019,
Slieve Carran,3,22,D,2. CY Bryophytes,0.1,0.5,31/07/2019,
Slieve Carran,3,22,D,3. CY Graminoids,112.01,560.05,31/07/2019,
Slieve Carran,3,22,D,4. CY Legumes,20.04,100.2,31/07/2019,
Slieve Carran,3,22,D,5. CY Non Legume forb,16.81,84.04,31/07/2019,
Slieve Carran,3,22,D,6. CY Woody Growth,0,0,31/07/2019,
Slieve Carran,3,23,A,1. Previous years dead,14.08,70.4,31/07/2019,
Slieve Carran,3,23,A,2. CY Bryophytes,0,0,31/07/2019,
Slieve Carran,3,23,A,3. CY Graminoids,180.52,902.6,31/07/2019,
Slieve Carran,3,23,A,4. CY Legumes,3.95,19.74,31/07/2019,
Slieve Carran,3,23,A,5. CY Non Legume forb,16.82,84.08,31/07/2019,
Slieve Carran,3,23,A,6. CY Woody Growth,0,0,31/07/2019,
Slieve Carran,3,24,C,1. Previous years dead,65.2,326,31/07/2019,
Slieve Carran,3,24,C,2. CY Bryophytes,0.12,0.6,31/07/2019,
Slieve Carran,3,24,C,3. CY Graminoids,56.26,281.3,31/07/2019,
Slieve Carran,3,24,C,4. CY Legumes,6,30,31/07/2019,
Slieve Carran,3,24,C,5. CY Non Legume forb,22.15,110.75,31/07/2019,
Slieve Carran,3,24,C,6. CY Woody Growth,0,0,31/07/2019,
Slieve Carran,3,25,D,1. Previous years dead,13.64,68.19,31/07/2019,
Slieve Carran,3,25,D,2. CY Bryophytes,0,0,31/07/2019,
Slieve Carran,3,25,D,3. CY Graminoids,72.44,362.2,31/07/2019,
Slieve Carran,3,25,D,4. CY Legumes,1.91,9.54,31/07/2019,
Slieve Carran,3,25,D,5. CY Non Legume forb,0,0,31/07/2019,
Slieve Carran,3,25,D,6. CY Woody Growth,0,0,31/07/2019,
Slieve Carran,3,26,A,1. Previous years dead,57.97,289.85,31/07/2019,
Slieve Carran,3,26,A,2. CY Bryophytes,1.75,8.75,31/07/2019,
Slieve Carran,3,26,A,3. CY Graminoids,85.59,427.95,31/07/2019,
Slieve Carran,3,26,A,4. CY Legumes,2.22,11.09,31/07/2019,
Slieve Carran,3,26,A,5. CY Non Legume forb,15.58,77.88,31/07/2019,
Slieve Carran,3,26,A,6. CY Woody Growth,0.87,4.34,31/07/2019,
Slieve Carran,3,27,B,1. Previous years dead,70.4,352,31/07/2019,
Slieve Carran,3,27,B,2. CY Bryophytes,0.03,0.15,31/07/2019,
Slieve Carran,3,27,B,3. CY Graminoids,108.93,544.65,31/07/2019,
Slieve Carran,3,27,B,4. CY Legumes,0.118,0.59,31/07/2019,
Slieve Carran,3,27,B,5. CY Non Legume forb,27.23,136.14,31/07/2019,
Slieve Carran,3,27,B,6. CY Woody Growth,0,0,31/07/2019,
Slieve Carran,3,28,D,1. Previous years dead,37.05,185.25,31/07/2019,
Slieve Carran,3,28,D,2. CY Bryophytes,4.28,21.39,31/07/2019,
Slieve Carran,3,28,D,3. CY Graminoids,75.64,378.2,31/07/2019,
Slieve Carran,3,28,D,4. CY Legumes,0.77,3.84,31/07/2019,
Slieve Carran,3,28,D,5. CY Non Legume forb,29.37,146.83,31/07/2019,
Slieve Carran,3,28,D,6. CY Woody Growth,0,0,31/07/2019,
Slieve Carran,3,29,D,1. Previous years dead,34.91,174.55,31/07/2019,
Slieve Carran,3,29,D,2. CY Bryophytes,90.97,454.85,31/07/2019,
Slieve Carran,3,29,D,3. CY Graminoids,139.85,699.25,31/07/2019,
Slieve Carran,3,29,D,4. CY Legumes,26.92,134.6,31/07/2019,
Slieve Carran,3,29,D,5. CY Non Legume forb,33,164.99,31/07/2019,
Slieve Carran,3,29,D,6. CY Woody Growth,0,0,31/07/2019,
Slieve Carran,3,30,A,1. Previous years dead,126.91,634.55,31/07/2019,
Slieve Carran,3,30,A,2. CY Bryophytes,0.06,0.3,31/07/2019,
Slieve Carran,3,30,A,3. CY Graminoids,336.72,1683.6,31/07/2019,
Slieve Carran,3,30,A,4. CY Legumes,6.72,33.59,31/07/2019,
Slieve Carran,3,30,A,5. CY Non Legume forb,12.82,64.09,31/07/2019,
Slieve Carran,3,30,A,6. CY Woody Growth,0,0,31/07/2019,
